"","year","CDC","AGI","state"
"865","1968","","","IL"
"866","1969","","","IL"
"867","1970","","","IL"
"868","1971","","","IL"
"869","1972","","","IL"
"870","1973","32,760","32,760","IL"
"871","1974","50,718","46,800","IL"
"872","1975","58,743","60,340","IL"
"873","1976","66,356","73,260","IL"
"874","1977","71,326","71,710","IL"
"875","1978","70,211","70,280","IL"
"876","1979","68,524","70,920","IL"
"877","1980","67,514","69,110","IL"
"878","1981","68,290","66,830","IL"
"879","1982","66,613","65,860","IL"
"880","1983","65,434","","IL"
"881","1984","60,854","65,940","IL"
"882","1985","61,986","64,960","IL"
"883","1986","61,575","","IL"
"884","1987","48,646","72,180","IL"
"885","1988","50,478","72,570","IL"
"886","1989","66,722","","IL"
"887","1990","67,350","","IL"
"888","1991","46,502","64,990","IL"
"889","1992","56,552","68,420","IL"
"890","1993","56,552","","IL"
"891","1994","55,050","","IL"
"892","1995","54,092","68,160","IL"
"893","1996","53,613","69,390","IL"
"894","1997","50,147","","IL"
"895","1998","49,403","","IL"
"896","1999","45,924","(57,800)","IL"
"897","2000","45,884","63,690","IL"
"898","2001","46,546","","IL"
"899","2002","46,945","","IL"
"900","2003","42,247","","IL"
"901","2004","43,537","(52,870)","IL"
"902","2005","43,409","50,970","IL"
"903","2006","46,467","","IL"
"904","2007","45,298","52,200","IL"
"905","2008","47,717","54,920","IL"
"906","2009","46,077","","IL"
"907","2010","41,859","44,400","IL"
"908","2011","41,324","44,580","IL"
"909","2012","43,203","","IL"
"910","2013","40,750","43,400","IL"
"911","2014","38,472","42,270","IL"
"912","2015","39,856","","IL"
"913","2016","38,382","","IL"
"914","2017","39,329","","IL"
"915","2018","","","IL"
"916","year","abortions, reported(CDC/state)","abortions(AGI)","IL"
"917","year","total in state","abortions(AGI)","IL"
"918","year","total in state","abortions(AGI)","IN"
"919","1970","","","IN"
"920","1971","","","IN"
"921","1972","","","IN"
"922","1973","","1,760","IN"
"923","1974","6,029","5,990","IN"
"924","1975","7,859","7,680","IN"
"925","1976","8,610","8,720","IN"
"926","1977","9,508","10,370","IN"
"927","1978","12,003","15,340","IN"
"928","1979","14,658","18,910","IN"
"929","1980","16,505","19,630","IN"
"930","1981","15,016","16,040","IN"
"931","1982","15,806","15,680","IN"
"932","1983","13,898","","IN"
"933","1984","15,343","16,070","IN"
"934","1985","15,174","16,090","IN"
"935","1986","14,821","","IN"
"936","1987","15,838","14,750","IN"
"937","1988","13,003","15,760","IN"
"938","1989","12,704","","IN"
"939","1990","14,351","","IN"
"940","1991","13,493","15,940","IN"
"941","1992","12,983","15,840","IN"
"942","1993","11,330","","IN"
"943","1994","12,499","","IN"
"944","1995","12,425","14,030","IN"
"945","1996","13,341","14,850","IN"
"946","1997","13,208","","IN"
"947","1998","12,443","","IN"
"948","1999","12,109","(12,400)","IN"
"949","2000","12,272","12,490","IN"
"950","2001","11,875","","IN"
"951","2002","10,937","","IN"
"952","2003","11,458","","IN"
"953","2004","10,514","(11,010)","IN"
"954","2005","10,686","11,150","IN"
"955","2006","10,614","","IN"
"956","2007","10,887","10,960","IN"
"957","2008","10,999","10,680","IN"
"958","2009","10,557","","IN"
"959","2010","10,048","10,400","IN"
"960","2011","9,112","9,430","IN"
"961","2012","8,808","","IN"
"962","2013","8,179","8,600","IN"
"963","2014","8,118","8,180","IN"
"964","2015","7,957","","IN"
"965","2016","7,280","","IN"
"966","2017","7,778","","IN"
"967","2018","","","IN"
"968","year","abortions, reported(CDC/state)","abortions(AGI)","IN"
"969","year","total in state","abortions(AGI)","IN"
"970","year","total in state","abortions(AGI)","IA"
"971","1930","(2)","","IA"
"972","1931","(6)","","IA"
"973","1932","(6)","","IA"
"974","1933","(6)","","IA"
"975","1934","(6)","","IA"
"976","1935","(6)","","IA"
"977","1936","(8)","","IA"
"978","1937","(8)","","IA"
"979","1938","(8)","","IA"
"980","1939","(8)","","IA"
"981","1940","(8)","","IA"
"982","1941","","","IA"
"983","1942","","","IA"
"984","1943","","","IA"
"985","1944","","","IA"
"986","1945","","","IA"
"987","1946","(5)","","IA"
"988","1947","(5)","","IA"
"989","1948","(5)","","IA"
"990","1949","(5)","","IA"
"991","1950","(5)","","IA"
"992","1951","","","IA"
"993","1952","","","IA"
"994","1953","","","IA"
"995","1954","","","IA"
"996","1955","","","IA"
"997","1956","","","IA"
"998","1957","","","IA"
"999","1958","","","IA"
"1000","1959","","","IA"
"1001","1960","","","IA"
"1002","1961","","","IA"
"1003","1962","","","IA"
"1004","1963","","","IA"
"1005","1964","","","IA"
"1006","1965","","","IA"
"1007","1966","","","IA"
"1008","1967","","","IA"
"1009","1968","","","IA"
"1010","1969","","","IA"
"1011","1970","","","IA"
"1012","1971","","","IA"
"1013","1972","","","IA"
"1014","1973","","2,320","IA"
"1015","1974","4,107","6,010","IA"
"1016","1975","1,345","6,220","IA"
"1017","1976","5,435","6,770","IA"
"1018","1977","5,097","7,010","IA"
"1019","1978","5,512","7,530","IA"
"1020","1979","6,247","9,280","IA"
"1021","1980","6,895","9,280","IA"
"1022","1981","6,288","8,510","IA"
"1023","1982","5,360","8,230","IA"
"1024","1983","5,534","","IA"
"1025","1984","6,045","10,430","IA"
"1026","1985","5,987","9,930","IA"
"1027","1986","6,930","","IA"
"1028","1987","6,369","8,900","IA"
"1029","1988","6,405","9,420","IA"
"1030","1989","6,358","","IA"
"1031","1990","7,166","","IA"
"1032","1991","7,029","7,200","IA"
"1033","1992","6,759","6,970","IA"
"1034","1993","6,324","","IA"
"1035","1994","5,914","","IA"
"1036","1995","5,899","6,040","IA"
"1037","1996","7,602","5,780","IA"
"1038","1997","10,022","","IA"
"1039","1998","6,214","","IA"
"1040","1999","6,106","(6,000)","IA"
"1041","2000","6,059","5,970","IA"
"1042","2001","5,722","","IA"
"1043","2002","6,240","","IA"
"1044","2003","5,916","","IA"
"1045","2004","6,022","(6,040)","IA"
"1046","2005","5,881","6,370","IA"
"1047","2006","6,728","","IA"
"1048","2007","6,649","7,110","IA"
"1049","2008","6,486","6,560","IA"
"1050","2009","5,829","","IA"
"1051","2010","5,399","6,000","IA"
"1052","2011","4,815","5,640","IA"
"1053","2012","4,648","","IA"
"1054","2013","4,423","4,900","IA"
"1055","2014","4,020","4,380","IA"
"1056","2015","3,989","","IA"
"1057","2016","3,722","","IA"
"1058","2017","3,269","","IA"
"1059","2018","","","IA"
"1060","year","abortions, reported(CDC/state)","abortions(AGI)","IA"
"1061","year","total in state","abortions(AGI)","IA"
"1062","year","total in state","abortions(AGI)","KS"
"1063","1970","","","KS"
"1064","1971","9,472","","KS"
"1065","1972","12,800","","KS"
"1066","1973","12,612","12,560","KS"
"1067","1974","10,171","13,420","KS"
"1068","1975","9,160","14,320","KS"
"1069","1976","9,154","12,990","KS"
"1070","1977","7,413","14,700","KS"
"1071","1978","9,229","12,870","KS"
"1072","1979","12,335","13,720","KS"
"1073","1980","11,791","13,570","KS"
"1074","1981","10,448","14,530","KS"
"1075","1982","9,343","14,440","KS"
"1076","1983","7,873","","KS"
"1077","1984","7,303","12,420","KS"
"1078","1985","6,455","10,150","KS"
"1079","1986","5,974","","KS"
"1080","1987","5,941","11,430","KS"
"1081","1988","7,534","11,440","KS"
"1082","1989","7,069","","KS"
"1083","1990","7,516","","KS"
"1084","1991","7,318","12,770","KS"
"1085","1992","10,385","12,570","KS"
"1086","1993","10,977","","KS"
"1087","1994","10,468","","KS"
"1088","1995","10,767","10,310","KS"
"1089","1996","10,685","10,630","KS"
"1090","1997","11,249","","KS"
"1091","1998","11,495","","KS"
"1092","1999","12,395","(12,360)","KS"
"1093","2000","12,225","12,270","KS"
"1094","2001","12,284","","KS"
"1095","2002","11,765","","KS"
"1096","2003","11,618","","KS"
"1097","2004","11,357","(11,220)","KS"
"1098","2005","10,837","10,410","KS"
"1099","2006","11,173","","KS"
"1100","2007","10,836","10,700","KS"
"1101","2008","10,642","10,620","KS"
"1102","2009","9,472","","KS"
"1103","2010","8,338","7,240","KS"
"1104","2011","7,851","6,940","KS"
"1105","2012","7,598","","KS"
"1106","2013","7,662","7,470","KS"
"1107","2014","7,294","7,240","KS"
"1108","2015","6,974","","KS"
"1109","2016","6,790","","KS"
"1110","2017","6,749","","KS"
"1111","2018","","","KS"
"1112","year","abortions, reported(CDC/state)","abortions(AGI)","KS"
"1113","year","total in state","abortions(AGI)","KS"
"1114","year","total in state","abortions(AGI)","KY"
"1115","1970","","","KY"
"1116","1971","","","KY"
"1117","1972","","","KY"
"1118","1973","","2,600","KY"
"1119","1974","5,033","7,750","KY"
"1120","1975","6,295","8,540","KY"
"1121","1976","8,616","10,200","KY"
"1122","1977","10,392","11,440","KY"
"1123","1978","10,930","12,470","KY"
"1124","1979","11,340","12,860","KY"
"1125","1980","7,484","12,820","KY"
"1126","1981","10,230","10,230","KY"
"1127","1982","10,830","10,830","KY"
"1128","1983","10,830","","KY"
"1129","1984","3,343","10,090","KY"
"1130","1985","3,216","9,820","KY"
"1131","1986","3,901","","KY"
"1132","1987","5,901","11,550","KY"
"1133","1988","11,631","11,520","KY"
"1134","1989","10,679","","KY"
"1135","1990","10,921","","KY"
"1136","1991","9,590","8,270","KY"
"1137","1992","8,696","10,000","KY"
"1138","1993","8,453","","KY"
"1139","1994","8,145","","KY"
"1140","1995","7,438","7,770","KY"
"1141","1996","8,145","8,470","KY"
"1142","1997","7,033","","KY"
"1143","1998","6,706","","KY"
"1144","1999","5,469","(5,500)","KY"
"1145","2000","4,630","4,700","KY"
"1146","2001","3,764","","KY"
"1147","2002","3,502","","KY"
"1148","2003","3,621","","KY"
"1149","2004","3,557","(3,670)","KY"
"1150","2005","3,776","3,870","KY"
"1151","2006","3,912","","KY"
"1152","2007","4,389","4,550","KY"
"1153","2008","4,272","4,430","KY"
"1154","2009","4,120","","KY"
"1155","2010","3,929","4,040","KY"
"1156","2011","3,957","3,970","KY"
"1157","2012","3,810","","KY"
"1158","2013","3,637","3,700","KY"
"1159","2014","3,442","3,530","KY"
"1160","2015","3,188","","KY"
"1161","2016","","","KY"
"1162","2017","","","KY"
"1163","2018","","","KY"
"1164","year","abortions, reported(CDC/state)","abortions(AGI)","KY"
"1165","year","total in state","abortions(AGI)","KY"
"1166","year","total in state","abortions(AGI)","LA"
"1167","1970","","","LA"
"1168","1971","","","LA"
"1169","1972","","","LA"
"1170","1973","","","LA"
"1171","1974","974","4,370","LA"
"1172","1975","4,180","5,260","LA"
"1173","1976","6,350","8,570","LA"
"1174","1977","8,644","14,600","LA"
"1175","1978","11,236","13,290","LA"
"1176","1979","13,512","16,040","LA"
"1177","1980","16,525","17,680","LA"
"1178","1981","18,237","20,680","LA"
"1179","1982","19,794","22,310","LA"
"1180","1983","19,435","","LA"
"1181","1984","19,110","20,730","LA"
"1182","1985","18,135","19,240","LA"
"1183","1986","16,044","","LA"
"1184","1987","16,246","16,550","LA"
"1185","1988","15,367","17,340","LA"
"1186","1989","14,210","","LA"
"1187","1990","13,020","","LA"
"1188","1991","12,190","13,930","LA"
"1189","1992","12,468","13,600","LA"
"1190","1993","12,373","","LA"
"1191","1994","12,154","","LA"
"1192","1995","11,491","14,820","LA"
"1193","1996","11,884","14,740","LA"
"1194","1997","11,739","","LA"
"1195","1998","11,351","","LA"
"1196","1999","12,008","(13,100)","LA"
"1197","2000","11,384","13,100","LA"
"1198","2001","10,932","","LA"
"1199","2002","10,451","","LA"
"1200","2003","10,642","","LA"
"1201","2004","11,224","(12,600)","LA"
"1202","2005","8,860","11,400","LA"
"1203","2006","6,204","","LA"
"1204","2007","6,833","14,340","LA"
"1205","2008","6,817","14,860","LA"
"1206","2009","8,167","","LA"
"1207","2010","8,872","12,710","LA"
"1208","2011","8,955","12,210","LA"
"1209","2012","9,225","","LA"
"1210","2013","9,977","9,890","LA"
"1211","2014","10,322","10,150","LA"
"1212","2015","9,311","","LA"
"1213","2016","8,973","","LA"
"1214","2017","8,706","","LA"
"1215","2018","","","LA"
"1216","year","abortions, reported(CDC/state)","abortions(AGI)","LA"
"1217","year","total in state","abortions(AGI)","LA"
"1218","year","total in state","abortions(AGI)","ME"
"1219","1965","","","ME"
"1220","1966","","","ME"
"1221","1967","","","ME"
"1222","1968","","","ME"
"1223","1969","","","ME"
"1224","1970","","","ME"
"1225","1971","","","ME"
"1226","1972","","","ME"
"1227","1973","","710","ME"
"1228","1974","1,253","1,850","ME"
"1229","1975","1,930","1,980","ME"
"1230","1976","1,942","2,620","ME"
"1231","1977","2,318","3,310","ME"
"1232","1978","4,766","5,150","ME"
"1233","1979","3,963","4,680","ME"
"1234","1980","4,027","4,750","ME"
"1235","1981","3,277","5,690","ME"
"1236","1982","2,844","5,470","ME"
"1237","1983","3,836","","ME"
"1238","1984","4,412","5,180","ME"
"1239","1985","4,445","4,960","ME"
"1240","1986","4,418","","ME"
"1241","1987","4,767","4,950","ME"
"1242","1988","4,723","4,620","ME"
"1243","1989","4,685","","ME"
"1244","1990","4,607","","ME"
"1245","1991","3,827","4,210","ME"
"1246","1992","3,226","4,200","ME"
"1247","1993","3,301","","ME"
"1248","1994","3,089","","ME"
"1249","1995","2,819","2,690","ME"
"1250","1996","2,615","2,700","ME"
"1251","1997","2,545","","ME"
"1252","1998","2,408","","ME"
"1253","1999","2,427","(2,500)","ME"
"1254","2000","2,536","2,650","ME"
"1255","2001","2,515","","ME"
"1256","2002","2,315","","ME"
"1257","2003","2,550","","ME"
"1258","2004","2,593","(2,880)","ME"
"1259","2005","2,653","2,770","ME"
"1260","2006","2,672","","ME"
"1261","2007","2,689","2,870","ME"
"1262","2008","2,623","2,800","ME"
"1263","2009","2,413","","ME"
"1264","2010","2,311","2,490","ME"
"1265","2011","1,773","2,360","ME"
"1266","2012","2,046","","ME"
"1267","2013","1,939","2,190","ME"
"1268","2014","2,021","2,220","ME"
"1269","2015","1,836","","ME"
"1270","2016","1,997","","ME"
"1271","2017","1,959","","ME"
"1272","2018","","","ME"
"1273","year","abortions, reported(CDC/state)","abortions(AGI)","ME"
"1274","year","total in state","abortions(AGI)","ME"
"1275","year","total in state","abortions(AGI)","MD"
"1276","1940","","","MD"
"1277","1941","","","MD"
"1278","1942","","","MD"
"1279","1943","","","MD"
"1280","1944","","","MD"
"1281","1945","","","MD"
"1282","1946","","","MD"
"1283","1947","","","MD"
"1284","1948","","","MD"
"1285","1949","","","MD"
"1286","1950","","","MD"
"1287","1951","","","MD"
"1288","1952","","","MD"
"1289","1953","","","MD"
"1290","1954","","","MD"
"1291","1955","","","MD"
"1292","1956","","","MD"
"1293","1957","","","MD"
"1294","1958","","","MD"
"1295","1959","","","MD"
"1296","1960","","","MD"
"1297","1961","","","MD"
"1298","1962","","","MD"
"1299","1963","","","MD"
"1300","1964","","","MD"
"1301","1965","","","MD"
"1302","1966","","","MD"
"1303","1967","(400)","","MD"
"1304","1968","(1,467)","","MD"
"1305","1969","(3,832)","","MD"
"1306","1970","5,900","","MD"
"1307","1971","8,306","","MD"
"1308","1972","9,093","","MD"
"1309","1973","9,871","11,070","MD"
"1310","1974","15,975","17,140","MD"
"1311","1975","18,865","21,820","MD"
"1312","1976","20,641","23,580","MD"
"1313","1977","22,241","23,700","MD"
"1314","1978","24,681","25,780","MD"
"1315","1979","25,526","28,020","MD"
"1316","1980","27,778","30,490","MD"
"1317","1981","27,855","33,970","MD"
"1318","1982","26,084","34,810","MD"
"1319","1983","25,732","","MD"
"1320","1984","25,151","29,120","MD"
"1321","1985","24,434","29,480","MD"
"1322","1986","22,884","","MD"
"1323","1987","23,104","31,240","MD"
"1324","1988","23,707","32,670","MD"
"1325","1989","22,523","","MD"
"1326","1990","22,425","","MD"
"1327","1991","18,994","33,000","MD"
"1328","1992","19,860","31,260","MD"
"1329","1993","19,318","","MD"
"1330","1994","17,627","","MD"
"1331","1995","16,204","30,520","MD"
"1332","1996","12,363","31,310","MD"
"1333","1997","9,869","","MD"
"1334","1998","10,458","","MD"
"1335","1999","11,164","(31,040)","MD"
"1336","2000","12,337","34,560","MD"
"1337","2001","13,502","","MD"
"1338","2002","13,595","","MD"
"1339","2003","11,485","","MD"
"1340","2004","10,096","(38,020)","MD"
"1341","2005","10,797","37,590","MD"
"1342","2006","9,530","","MD"
"1343","2007","2,810","34,380","MD"
"1344","2008","4,070","34,290","MD"
"1345","2009","5,750","","MD"
"1346","2010","6,520","34,310","MD"
"1347","2011","3,190","34,260","MD"
"1348","2012","","","MD"
"1349","2013","","29,360","MD"
"1350","2014","","28,140","MD"
"1351","2015","","","MD"
"1352","2016","","","MD"
"1353","2017","","","MD"
"1354","2018","","","MD"
"1355","year","abortions, reported(CDC/state)","abortions(AGI)","MD"
"1356","year","total in state","abortions(AGI)","MD"
"1357","year","total in state","abortions(AGI)","MA"
"1358","1970","","","MA"
"1359","1971","","","MA"
"1360","1972","3,394","","MA"
"1361","1973","","12,400","MA"
"1362","1974","27,800","27,800","MA"
"1363","1975","29,940","33,260","MA"
"1364","1976","32,801","38,340","MA"
"1365","1977","34,382","39,310","MA"
"1366","1978","40,200","42,610","MA"
"1367","1979","44,044","45,110","MA"
"1368","1980","43,948","45,590","MA"
"1369","1981","40,913","41,660","MA"
"1370","1982","40,394","41,250","MA"
"1371","1983","37,272","","MA"
"1372","1984","31,876","36,340","MA"
"1373","1985","35,136","40,310","MA"
"1374","1986","38,240","","MA"
"1375","1987","38,576","41,490","MA"
"1376","1988","38,841","43,720","MA"
"1377","1989","39,288","","MA"
"1378","1990","39,739","","MA"
"1379","1991","37,071","44,150","MA"
"1380","1992","34,527","40,660","MA"
"1381","1993","35,312","","MA"
"1382","1994","32,195","","MA"
"1383","1995","29,097","41,190","MA"
"1384","1996","29,293","41,160","MA"
"1385","1997","28,477","","MA"
"1386","1998","27,714","","MA"
"1387","1999","26,852","(28,600)","MA"
"1388","2000","27,180","30,410","MA"
"1389","2001","26,293","","MA"
"1390","2002","25,249","","MA"
"1391","2003","25,741","","MA"
"1392","2004","24,366","(26,300)","MA"
"1393","2005","23,268","27,270","MA"
"1394","2006","24,246","","MA"
"1395","2007","24,128","25,790","MA"
"1396","2008","23,883","24,900","MA"
"1397","2009","22,945","","MA"
"1398","2010","20,802","24,360","MA"
"1399","2011","20,703","24,030","MA"
"1400","2012","20,062","","MA"
"1401","2013","19,448","20,890","MA"
"1402","2014","19,354","21,020","MA"
"1403","2015","18,570","","MA"
"1404","2016","","","MA"
"1405","2017","","","MA"
"1406","2018","","","MA"
"1407","year","abortions, reported(CDC/state)","abortions(AGI)","MA"
"1408","year","total in state","abortions(AGI)","MA"
"1409","year","total in state","abortions(AGI)","MI"
"1410","1960","","","MI"
"1411","1961","","","MI"
"1412","1962","","","MI"
"1413","1963","","","MI"
"1414","1964","","","MI"
"1415","1965","","","MI"
"1416","1966","","","MI"
"1417","1967","","","MI"
"1418","1968","","","MI"
"1419","1969","","","MI"
"1420","1970","","","MI"
"1421","1971","","","MI"
"1422","1972","","","MI"
"1423","1973","","37,480","MI"
"1424","1974","27,543","37,610","MI"
"1425","1975","34,210","42,700","MI"
"1426","1976","42,489","49,890","MI"
"1427","1977","41,086","53,470","MI"
"1428","1978","43,602","56,550","MI"
"1429","1979","54,106","63,020","MI"
"1430","1980","45,455","65,230","MI"
"1431","1981","45,787","65,230","MI"
"1432","1982","43,512","64,190","MI"
"1433","1983","40,528","","MI"
"1434","1984","42,062","66,010","MI"
"1435","1985","42,678","64,390","MI"
"1436","1986","41,890","","MI"
"1437","1987","49,274","61,060","MI"
"1438","1988","46,747","63,410","MI"
"1439","1989","36,569","","MI"
"1440","1990","36,183","","MI"
"1441","1991","34,556","55,800","MI"
"1442","1992","34,496","55,580","MI"
"1443","1993","35,737","","MI"
"1444","1994","33,061","","MI"
"1445","1995","31,091","49,370","MI"
"1446","1996","30,208","48,780","MI"
"1447","1997","29,528","","MI"
"1448","1998","28,107","","MI"
"1449","1999","26,207","(48,000)","MI"
"1450","2000","26,807","46,470","MI"
"1451","2001","28,220","","MI"
"1452","2002","29,231","","MI"
"1453","2003","29,540","","MI"
"1454","2004","26,269","(43,300)","MI"
"1455","2005","25,209","40,600","MI"
"1456","2006","25,636","","MI"
"1457","2007","24,683","35,930","MI"
"1458","2008","25,970","36,790","MI"
"1459","2009","22,357","","MI"
"1460","2010","23,307","30,770","MI"
"1461","2011","23,366","29,190","MI"
"1462","2012","23,230","","MI"
"1463","2013","26,120","28,800","MI"
"1464","2014","27,629","29,120","MI"
"1465","2015","27,151","","MI"
"1466","2016","26,395","","MI"
"1467","2017","26,594","","MI"
"1468","2018","","","MI"
"1469","year","abortions, reported(CDC/state)","abortions(AGI)","MI"
"1470","year","total in state","abortions(AGI)","MI"
"1471","year","total in state","abortions(AGI)","MN"
"1472","1960","","","MN"
"1473","1961","","","MN"
"1474","1962","","","MN"
"1475","1963","","","MN"
"1476","1964","","","MN"
"1477","1965","","","MN"
"1478","1966","","","MN"
"1479","1967","","","MN"
"1480","1968","","","MN"
"1481","1969","","","MN"
"1482","1970","","","MN"
"1483","1971","","","MN"
"1484","1972","","","MN"
"1485","1973","7,263","7,340","MN"
"1486","1974","8,732","11,610","MN"
"1487","1975","10,565","12,790","MN"
"1488","1976","14,124","15,680","MN"
"1489","1977","15,532","17,150","MN"
"1490","1978","17,262","17,580","MN"
"1491","1979","18,672","19,080","MN"
"1492","1980","19,028","19,920","MN"
"1493","1981","18,304","19,900","MN"
"1494","1982","17,758","19,020","MN"
"1495","1983","16,428","","MN"
"1496","1984","17,314","17,410","MN"
"1497","1985","17,686","16,850","MN"
"1498","1986","17,383","","MN"
"1499","1987","17,653","17,810","MN"
"1500","1988","17,975","18,580","MN"
"1501","1989","17,398","","MN"
"1502","1990","17,156","","MN"
"1503","1991","16,178","16,880","MN"
"1504","1992","15,546","16,180","MN"
"1505","1993","14,350","","MN"
"1506","1994","14,027","","MN"
"1507","1995","14,017","14,910","MN"
"1508","1996","14,193","14,660","MN"
"1509","1997","14,229","","MN"
"1510","1998","14,423","","MN"
"1511","1999","14,342","(14,100)","MN"
"1512","2000","14,477","14,610","MN"
"1513","2001","14,833","","MN"
"1514","2002","14,239","","MN"
"1515","2003","14,174","","MN"
"1516","2004","13,791","(13,800)","MN"
"1517","2005","13,365","13,910","MN"
"1518","2006","14,065","","MN"
"1519","2007","13,843","14,000","MN"
"1520","2008","12,948","13,060","MN"
"1521","2009","12,388","","MN"
"1522","2010","11,505","11,570","MN"
"1523","2011","11,071","11,140","MN"
"1524","2012","10,701","","MN"
"1525","2013","9,904","10,030","MN"
"1526","2014","10,123","9,760","MN"
"1527","2015","9,861","","MN"
"1528","2016","9,953","","MN"
"1529","2017","10,177","","MN"
"1530","2018","","","MN"
"1531","year","abortions, reported(CDC/state)","abortions(AGI)","MN"
"1532","year","total in state","abortions(AGI)","MN"
"1533","year","total in state","abortions(AGI)","MS"
"1534","1930","","","MS"
"1535","1931","","","MS"
"1536","1932","","","MS"
"1537","1933","","","MS"
"1538","1934","","","MS"
"1539","1935","","","MS"
"1540","1936","","","MS"
"1541","1937","","","MS"
"1542","1938","","","MS"
"1543","1939","","","MS"
"1544","1940","","","MS"
"1545","1941","","","MS"
"1546","1942","","","MS"
"1547","1943","","","MS"
"1548","1944","","","MS"
"1549","1945","","","MS"
"1550","1946","","","MS"
"1551","1947","","","MS"
"1552","1948","","","MS"
"1553","1949","","","MS"
"1554","1950","","","MS"
"1555","1951","","","MS"
"1556","1952","","","MS"
"1557","1953","","","MS"
"1558","1954","","","MS"
"1559","1955","","","MS"
"1560","1956","","","MS"
"1561","1957","","","MS"
"1562","1958","","","MS"
"1563","1959","","","MS"
"1564","1960","","","MS"
"1565","1961","","","MS"
"1566","1962","","","MS"
"1567","1963","","","MS"
"1568","1964","","","MS"
"1569","1965","","","MS"
"1570","1966","","","MS"
"1571","1967","","","MS"
"1572","1968","","","MS"
"1573","1969","","","MS"
"1574","1970","","","MS"
"1575","1971","93","","MS"
"1576","1972","61","","MS"
"1577","1973","96","110","MS"
"1578","1974","140","380","MS"
"1579","1975","315","310","MS"
"1580","1976","1,510","1,670","MS"
"1581","1977","2,446","2,760","MS"
"1582","1978","3,280","4,010","MS"
"1583","1979","4,411","5,060","MS"
"1584","1980","5,543","6,080","MS"
"1585","1981","5,561","5,430","MS"
"1586","1982","5,145","5,500","MS"
"1587","1983","4,560","","MS"
"1588","1984","4,585","5,490","MS"
"1589","1985","5,288","5,890","MS"
"1590","1986","4,521","","MS"
"1591","1987","5,469","5,430","MS"
"1592","1988","5,170","5,120","MS"
"1593","1989","5,490","","MS"
"1594","1990","6,842","","MS"
"1595","1991","8,184","8,160","MS"
"1596","1992","7,555","7,550","MS"
"1597","1993","6,002","","MS"
"1598","1994","3,979","","MS"
"1599","1995","3,563","3,420","MS"
"1600","1996","4,206","4,490","MS"
"1601","1997","4,325","","MS"
"1602","1998","3,955","","MS"
"1603","1999","3,878","(3,800)","MS"
"1604","2000","3,758","3,780","MS"
"1605","2001","3,566","","MS"
"1606","2002","3,605","","MS"
"1607","2003","3,753","","MS"
"1608","2004","3,500","(3,500)","MS"
"1609","2005","3,041","3,090","MS"
"1610","2006","2,949","","MS"
"1611","2007","2,932","2,930","MS"
"1612","2008","2,772","2,770","MS"
"1613","2009","2,438","","MS"
"1614","2010","2,297","2,300","MS"
"1615","2011","2,224","2,220","MS"
"1616","2012","2,176","","MS"
"1617","2013","2,170","2,210","MS"
"1618","2014","2,303","2,290","MS"
"1619","2015","","","MS"
"1620","2016","","","MS"
"1621","2017","","","MS"
"1622","2018","","","MS"
"1623","year","abortions, reported(CDC/state)","abortions(AGI)","MS"
"1624","year","total in state","abortions(AGI)","MS"
"1625","year","total in state","abortions(AGI)","MO"
"1626","1970","","","MO"
"1627","1971","","","MO"
"1628","1972","","","MO"
"1629","1973","","3,440","MO"
"1630","1974","7,983","8,370","MO"
"1631","1975","10,245","10,970","MO"
"1632","1976","12,885","13,560","MO"
"1633","1977","13,533","14,830","MO"
"1634","1978","15,546","15,570","MO"
"1635","1979","17,787","17,740","MO"
"1636","1980","19,043","21,620","MO"
"1637","1981","18,604","19,630","MO"
"1638","1982","19,226","19,780","MO"
"1639","1983","19,199","","MO"
"1640","1984","20,204","22,140","MO"
"1641","1985","19,482","20,100","MO"
"1642","1986","19,039","","MO"
"1643","1987","17,574","20,190","MO"
"1644","1988","17,382","19,490","MO"
"1645","1989","17,495","","MO"
"1646","1990","16,366","","MO"
"1647","1991","15,473","15,770","MO"
"1648","1992","13,390","13,510","MO"
"1649","1993","12,540","","MO"
"1650","1994","11,879","","MO"
"1651","1995","11,203","10,540","MO"
"1652","1996","11,629","10,810","MO"
"1653","1997","10,202","","MO"
"1654","1998","9,089","","MO"
"1655","1999","8,113","(7,800)","MO"
"1656","2000","7,884","7,920","MO"
"1657","2001","7,797","","MO"
"1658","2002","8,201","","MO"
"1659","2003","8,350","","MO"
"1660","2004","8,072","(8,600)","MO"
"1661","2005","7,977","8,400","MO"
"1662","2006","7,556","","MO"
"1663","2007","7,324","7,400","MO"
"1664","2008","7,413","7,440","MO"
"1665","2009","6,881","","MO"
"1666","2010","6,163","6,160","MO"
"1667","2011","5,772","5,820","MO"
"1668","2012","5,624","","MO"
"1669","2013","5,416","5,470","MO"
"1670","2014","5,064","5,130","MO"
"1671","2015","4,765","","MO"
"1672","2016","4,562","","MO"
"1673","2017","","","MO"
"1674","2018","","","MO"
"1675","year","abortions, reported(CDC/state)","abortions(AGI)","MO"
"1676","year","total in state","abortions(AGI)","MO"
"1677","year","total in state","abortions(AGI)","MT"
"1678","1945","","","MT"
"1679","1946","","","MT"
"1680","1947","","","MT"
"1681","1948","","","MT"
"1682","1949","","","MT"
"1683","1950","","","MT"
"1684","1951","","","MT"
"1685","1952","","","MT"
"1686","1953","","","MT"
"1687","1954","","","MT"
